celltype,marker_gene,CL_ID,general_celltype,general_CL_ID,color,reference
microglial cell,Cx3cr1,CL:0000129,immune,CL:0000738,#f980bf,https://www.science.org/doi/10.1126/science.aaa1934
microglial cell,P2ry12,CL:0000129,immune,CL:0000738,#f980bf,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.639613/full
microglial cell,Siglech,CL:0000129,immune,CL:0000738,#f980bf,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2021.639613/full
microglial cell,Inpp5d,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Fcrls,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Csf1r,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Csf3r,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Ctss,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Il10ra,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Cd33,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,Ly86,CL:0000129,immune,CL:0000738,#f980bf,
microglial cell,C1qa,CL:0000129,immune,CL:0000738,#f980bf,https://www.nature.com/articles/s41586-023-06812-z
microglial cell,Tmem119,CL:0000129,immune,CL:0000738,#f980bf,https://www.nature.com/articles/s41467-024-45821-y
microglial cell,Trem2,CL:0000129,immune,CL:0000738,#f980bf,https://www.nature.com/articles/s41467-024-45821-y
endothelial cell,Flt1,CL:0000115,endothelial,CL:0000115,#2ca128,https://www.nature.com/articles/nn.4216
endothelial cell,Ly6c1,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Tek,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Cldn5,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Pecam1,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Kdr,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Nos3,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Tie1,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Vwf,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Ocln,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Cxcl12,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Eng,CL:0000115,endothelial,CL:0000115,#2ca128,
endothelial cell,Thsd1,CL:0000115,endothelial,CL:0000115,#2ca128,
smooth muscle cell,Myh11,CL:0000192,muscle,CL:0000187,#44aeac,https://www.nature.com/articles/s41586-023-06812-z
smooth muscle cell,Acta2,CL:0000192,muscle,CL:0000187,#44aeac,https://www.nature.com/articles/s41586-023-06812-z
smooth muscle cell,Bgn,CL:0000192,muscle,CL:0000187,#44aeac,https://www.nature.com/articles/s41586-023-06812-z
smooth muscle cell,Myl9,CL:0000192,muscle,CL:0000187,#44aeac,https://www.nature.com/articles/s41586-023-06812-z
pericyte,Vtn,CL:0000669,pericyte,CL:0000669,#ff7e00,https://www.nature.com/articles/s41586-023-06812-z
pericyte,Rgs5,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Pdgfrb,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Mylk,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Notch3,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Ednra,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Carmn,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Slc38a11,CL:0000669,pericyte,CL:0000669,#ff7e00,
pericyte,Abcc9,CL:0000669,pericyte,CL:0000669,#ff7e00,https://www.nature.com/articles/s41586-023-06812-z
vascular leptomeningeal cell,Apod,CL:4023051,stromal,CL:0000499,#e41b1d,https://www.nature.com/articles/s41586-023-06812-z
vascular leptomeningeal cell,Slc13a3,CL:4023051,stromal,CL:0000499,#e41b1d,https://www.nature.com/articles/s41586-023-06812-z
vascular leptomeningeal cell,Slc6a13,CL:4023051,stromal,CL:0000499,#e41b1d,https://www.nature.com/articles/s41586-023-06812-z
vascular leptomeningeal cell,Fmod,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Dcn,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Col1a1,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Col4a6,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Col13a1,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Svep1,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Aldh1a2,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Musk,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Ptgds,CL:4023051,stromal,CL:0000499,#e41b1d,https://www.nature.com/articles/s41467-024-45821-y
vascular leptomeningeal cell,Igfbp2,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Angpt2,CL:4023051,stromal,CL:0000499,#e41b1d,
vascular leptomeningeal cell,Wnt5a,CL:4023051,stromal,CL:0000499,#e41b1d,
barrier cell,Bnc2,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Slc47a1,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Prg4,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Slc26a7,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Mgp,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Dapl1,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Slc12a7,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Dpp4,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Tspan11,CL:4023097,stromal,CL:0000499,#ed6357,
barrier cell,Slc9a2,CL:4023097,stromal,CL:0000499,#ed6357,
epithelial cell,Ttr,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Kl,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Clic6,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Otx2,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Aqp1,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Folr1,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Slc4a5,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Oca2,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Acad8,CL:0000706,epithelial,CL:0000066,#1516a6,
epithelial cell,Lmx1a,CL:0000706,epithelial,CL:0000066,#1516a6,
ependymal cell,Hydin,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Cfap43,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Tmem212,CL:0000065,glial,CL:0000125,#b10da1,https://www.nature.com/articles/s41586-023-06812-z
ependymal cell,Foxj1,CL:0000065,glial,CL:0000125,#b10da1,https://www.science.org/doi/10.1126/science.aaa1934
ependymal cell,Dynlrb2,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Ccdc153,CL:0000065,glial,CL:0000125,#b10da1,https://www.nature.com/articles/s41586-023-06812-z
ependymal cell,Dnaaf1,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Cfap52,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Dnah5,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Rsph1,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Cfap45,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Wdr49,CL:0000065,glial,CL:0000125,#b10da1,
ependymal cell,Dnah3,CL:0000065,glial,CL:0000125,#b10da1,https://www.nature.com/articles/s41586-023-06812-z
ependymal cell,Sntn,CL:0000065,glial,CL:0000125,#b10da1,
