celltype,marker_gene,CL_ID,general_celltype,general_CL_ID,color,reference
astrocyte,Clu,CL:0000127,glial,CL:0000125,#16ffce,https://www.nature.com/articles/s41467-024-45821-y
astrocyte,Slc1a3,CL:0000127,glial,CL:0000125,#16ffce,https://www.nature.com/articles/s41467-024-45821-y
astrocyte,Gfap,CL:0000127,glial,CL:0000125,#16ffce,https://www.science.org/doi/10.1126/science.aaa1934
astrocyte,Aqp4,CL:0000127,glial,CL:0000125,#16ffce,https://www.nature.com/articles/nn.4216
astrocyte,Aldh1l1,CL:0000127,glial,CL:0000125,#16ffce,https://link.springer.com/article/10.1186/s40478-020-0880-6
astrocyte,Ndrg2,CL:0000127,glial,CL:0000125,#16ffce,https://link.springer.com/article/10.1007/s11033-025-10309-5
astrocyte,Sox9,CL:0000127,glial,CL:0000125,#16ffce,https://www.nature.com/articles/nn.4216
astrocyte,Fgfr3,CL:0000127,glial,CL:0000125,#16ffce,
astrocyte,Gja1,CL:0000127,glial,CL:0000125,#16ffce,https://www.nature.com/articles/nn.4216
astrocyte,Cxcl14,CL:0000127,glial,CL:0000125,#16ffce,https://www.nature.com/articles/nn.4216
GABAergic interneuron,Dlx6os1,CL:0011005,neuron,CL:0000540,#954b03,https://www.nature.com/articles/s41598-021-82931-9
GABAergic interneuron,Gad1,CL:0011005,neuron,CL:0000540,#954b03,https://www.nature.com/articles/nn.4216
GABAergic interneuron,Gad2,CL:0011005,neuron,CL:0000540,#954b03,https://www.nature.com/articles/nn.4216
GABAergic interneuron,Cacna2d2,CL:0011005,neuron,CL:0000540,#954b03,
GABAergic interneuron,Slc32a1,CL:0011005,neuron,CL:0000540,#954b03,
GABAergic interneuron,Elfn1,CL:0011005,neuron,CL:0000540,#954b03,
GABAergic interneuron,Pde11a,CL:0011005,neuron,CL:0000540,#954b03,
GABAergic interneuron,Nos1,CL:0011005,neuron,CL:0000540,#954b03,
GABAergic interneuron,Dlx1,CL:0011005,neuron,CL:0000540,#954b03,
GABAergic interneuron,Lhx6,CL:0011005,neuron,CL:0000540,#954b03,https://www.science.org/doi/10.1126/science.aaa1934
GABAergic interneuron,Tacr1,CL:0011005,neuron,CL:0000540,#954b03,https://www.nature.com/articles/nn.4216
Pvalb+ interneuron,Pvalb,CL:4023018,neuron,CL:0000540,#e5bc9c,
Pvalb+ interneuron,Adamts8,CL:4023018,neuron,CL:0000540,#e5bc9c,
Pvalb+ interneuron,Adamts15,CL:4023018,neuron,CL:0000540,#e5bc9c,
Sst+ interneuron,Sst,CL:4023017,neuron,CL:0000540,#603004,
Sst+ interneuron,Crhbp,CL:4023017,neuron,CL:0000540,#603004,
Vip+ interneuron,Vip,CL:4023016,neuron,CL:0000540,#bd997a,
Vip+ interneuron,Npas1,CL:4023016,neuron,CL:0000540,#bd997a,
Vip+ interneuron,Igf1,CL:4023016,neuron,CL:0000540,#bd997a,
Lamp5+ interneuron,Lamp5,CL:4023011,neuron,CL:0000540,#3e1c01,
Lamp5+ interneuron,Hcrtr2,CL:4023011,neuron,CL:0000540,#3e1c01,
Lamp5+ interneuron,Hapln1,CL:4023011,neuron,CL:0000540,#3e1c01,
medium spiny neuron,Pde1b,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Ppp1r1b,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Drd2,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Adora2a,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Penk,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Drd1,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Gpr88,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Htr1b,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Htr1d,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Rasd2,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Pde2a,CL:1001474,neuron,CL:0000540,#3282fd,
medium spiny neuron,Syndig1l,CL:1001474,neuron,CL:0000540,#3282fd,
neuroblast,Igfbpl1,CL:0000031,neuron,CL:0000540,#fdb363,https://www.nature.com/articles/s41467-022-35341-y
neuroblast,Dlx2,CL:0000031,neuron,CL:0000540,#fdb363,https://www.nature.com/articles/s41467-022-35341-y
neuroblast,Pax6,CL:0000031,neuron,CL:0000540,#fdb363,https://www.nature.com/articles/s41467-022-35341-y
neuroblast,Top2a,CL:0000031,neuron,CL:0000540,#fdb363,https://pmc.ncbi.nlm.nih.gov/articles/PMC9458435/
glutamatergic neuron,Sv2b,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Satb2,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Slc17a7,CL:0000679,neuron,CL:0000540,#a777f1,https://www.nature.com/articles/nn.4216
glutamatergic neuron,Nrgn,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Stx1a,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Ntng2,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Bdnf,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Emx1,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Nrn1,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Nptx1,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Rtn4r,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Tbr1,CL:0000679,neuron,CL:0000540,#a777f1,
glutamatergic neuron,Neurod6,CL:0000679,neuron,CL:0000540,#a777f1,https://www.nature.com/articles/s41586-023-06812-z
glutamatergic neuron,Neurod2,CL:0000679,neuron,CL:0000540,#a777f1,https://www.nature.com/articles/s41586-023-06812-z
oligodendrocyte precursor cell,Pdgfra,CL:0002453,progenitor,CL:0011026,#f1f79c,https://www.nature.com/articles/nn.4216
oligodendrocyte precursor cell,Olig1,CL:0002453,progenitor,CL:0011026,#f1f79c,https://www.nature.com/articles/s41586-023-06812-z
oligodendrocyte precursor cell,Nkx2-2,CL:0002453,progenitor,CL:0011026,#f1f79c,https://pubmed.ncbi.nlm.nih.gov/11526078/
oligodendrocyte precursor cell,Cspg4,CL:0002453,progenitor,CL:0011026,#f1f79c,https://www.nature.com/articles/nn.4216
oligodendrocyte precursor cell,C1ql1,CL:0002453,progenitor,CL:0011026,#f1f79c,https://pubmed.ncbi.nlm.nih.gov/39257292/
committed oligodendrocyte precursor,Gpr17,CL:4023059,glial,CL:0000125,#f7e95e,https://www.nature.com/articles/s41586-023-06812-z
committed oligodendrocyte precursor,Bmp4,CL:4023059,glial,CL:0000125,#f7e95e,https://www.nature.com/articles/s41586-023-06812-z
oligodendrocyte,Plp1,CL:0000128,glial,CL:0000125,#e9bc00,https://www.science.org/doi/10.1126/science.aaa1934
oligodendrocyte,Mog,CL:0000128,glial,CL:0000125,#e9bc00,https://www.nature.com/articles/nn.4216
oligodendrocyte,Mobp,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Mag,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Opalin,CL:0000128,glial,CL:0000125,#e9bc00,https://www.nature.com/articles/nn.4216 
oligodendrocyte,Ermn,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Ugt8a,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Fa2h,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Mal,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Enpp6,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Cldn11,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Myrf,CL:0000128,glial,CL:0000125,#e9bc00,
oligodendrocyte,Car2,CL:0000128,glial,CL:0000125,#e9bc00,
